museum,accession,record_url,mint_hint,weight_g,diam_mm
ANS,0000.999.2306,http://numismatics.org/collection/0000.999.2306,neapolis,6.25,
ANS,0000.999.2311,http://numismatics.org/collection/0000.999.2311,neapolis,3.66,
ANS,0000.999.2312,http://numismatics.org/collection/0000.999.2312,neapolis,5.73,
ANS,0000.999.2313,http://numismatics.org/collection/0000.999.2313,neapolis,1.84,
ANS,0000.999.2314,http://numismatics.org/collection/0000.999.2314,neapolis,3.01,
ANS,0000.999.2315,http://numismatics.org/collection/0000.999.2315,neapolis,3.39,
ANS,0000.999.2316,http://numismatics.org/collection/0000.999.2316,neapolis,2.35,
ANS,0000.999.2328,http://numismatics.org/collection/0000.999.2328,luceria,1.82,
ANS,0000.999.2331,http://numismatics.org/collection/0000.999.2331,venusia,21.19,
ANS,0000.999.2335,http://numismatics.org/collection/0000.999.2335,brundisium,5.35,
ANS,0000.999.2336,http://numismatics.org/collection/0000.999.2336,brundisium,2.69,
ANS,0000.999.2337,http://numismatics.org/collection/0000.999.2337,brundisium,3.85,
ANS,0000.999.2339,http://numismatics.org/collection/0000.999.2339,brundisium,2.41,
ANS,0000.999.3068,http://numismatics.org/collection/0000.999.3068,tarentum,7.84,
ANS,0000.999.3069,http://numismatics.org/collection/0000.999.3069,tarentum,6.22,
ANS,0000.999.3070,http://numismatics.org/collection/0000.999.3070,tarentum,6.2,
ANS,0000.999.3071,http://numismatics.org/collection/0000.999.3071,tarentum,6.13,
ANS,0000.999.3074,http://numismatics.org/collection/0000.999.3074,tarentum,7.32,
ANS,0000.999.3075,http://numismatics.org/collection/0000.999.3075,tarentum,3.06,
ANS,0000.999.3076,http://numismatics.org/collection/0000.999.3076,tarentum,0.67,
ANS,0000.999.3077,http://numismatics.org/collection/0000.999.3077,tarentum,0.77,
ANS,0000.999.33074,http://numismatics.org/collection/0000.999.33074,luceria,22.42,28.0
ANS,0000.999.33075,http://numismatics.org/collection/0000.999.33075,luceria,12.3,21.5
ANS,0000.999.33076,http://numismatics.org/collection/0000.999.33076,luceria,6.63,18.5
ANS,0000.999.3427,http://numismatics.org/collection/0000.999.3427,tarentum,0.77,
ANS,0000.999.3428,http://numismatics.org/collection/0000.999.3428,tarentum,0.82,
ANS,0000.999.3429,http://numismatics.org/collection/0000.999.3429,tarentum,1.02,
ANS,0000.999.3431,http://numismatics.org/collection/0000.999.3431,tarentum,1.09,
ANS,0000.999.3433,http://numismatics.org/collection/0000.999.3433,tarentum,0.93,
ANS,0000.999.3434,http://numismatics.org/collection/0000.999.3434,tarentum,0.51,
ANS,0000.999.3435,http://numismatics.org/collection/0000.999.3435,tarentum,0.56,
ANS,0000.999.3436,http://numismatics.org/collection/0000.999.3436,tarentum,2.61,
ANS,0000.999.3437,http://numismatics.org/collection/0000.999.3437,heraclea,1.06,
ANS,0000.999.3438,http://numismatics.org/collection/0000.999.3438,heraclea,1.17,
ANS,0000.999.3439,http://numismatics.org/collection/0000.999.3439,heraclea,2.44,
ANS,0000.999.3440,http://numismatics.org/collection/0000.999.3440,heraclea,1.95,
ANS,0000.999.3441,http://numismatics.org/collection/0000.999.3441,heraclea,3.78,
ANS,0000.999.3442,http://numismatics.org/collection/0000.999.3442,heraclea,1.25,
ANS,0000.999.3443,http://numismatics.org/collection/0000.999.3443,heraclea,2.65,
ANS,0000.999.3445,http://numismatics.org/collection/0000.999.3445,metapontum,8.27,
ANS,0000.999.3446,http://numismatics.org/collection/0000.999.3446,metapontum,1.01,
ANS,0000.999.3461,http://numismatics.org/collection/0000.999.3461,metapontum,6.74,
ANS,0000.999.3462,http://numismatics.org/collection/0000.999.3462,metapontum,0.87,
ANS,0000.999.3463,http://numismatics.org/collection/0000.999.3463,metapontum,3.24,
ANS,0000.999.3464,http://numismatics.org/collection/0000.999.3464,metapontum,3.41,
ANS,0000.999.3465,http://numismatics.org/collection/0000.999.3465,metapontum,3.91,
ANS,0000.999.3466,http://numismatics.org/collection/0000.999.3466,metapontum,3.07,
ANS,0000.999.3577,http://numismatics.org/collection/0000.999.3577,poseidonia_paestum,7.1,
ANS,0000.999.3578,http://numismatics.org/collection/0000.999.3578,poseidonia_paestum,7.42,
ANS,0000.999.3579,http://numismatics.org/collection/0000.999.3579,poseidonia_paestum,5.42,
ANS,0000.999.3580,http://numismatics.org/collection/0000.999.3580,poseidonia_paestum,2.2,
ANS,0000.999.3581,http://numismatics.org/collection/0000.999.3581,poseidonia_paestum,5.49,
ANS,0000.999.3582,http://numismatics.org/collection/0000.999.3582,poseidonia_paestum,3.18,
ANS,0000.999.3583,http://numismatics.org/collection/0000.999.3583,poseidonia_paestum,4.4,
ANS,0000.999.35831,http://numismatics.org/collection/0000.999.35831,luceria,15.95,28.0
ANS,0000.999.3584,http://numismatics.org/collection/0000.999.3584,poseidonia_paestum,2.26,
ANS,0000.999.3585,http://numismatics.org/collection/0000.999.3585,poseidonia_paestum,3.58,
ANS,0000.999.3591,http://numismatics.org/collection/0000.999.3591,poseidonia_paestum,6.7,
ANS,0000.999.3600,http://numismatics.org/collection/0000.999.3600,poseidonia_paestum,2.95,
ANS,0000.999.3897,http://numismatics.org/collection/0000.999.3897,thurium_copia,6.94,
ANS,0000.999.3970,http://numismatics.org/collection/0000.999.3970,thurium_copia,7.97,
ANS,0000.999.4007,http://numismatics.org/collection/0000.999.4007,thurium_copia,1.13,
ANS,0000.999.4008,http://numismatics.org/collection/0000.999.4008,thurium_copia,1.16,
ANS,0000.999.4011,http://numismatics.org/collection/0000.999.4011,thurium_copia,1.84,
ANS,0000.999.4013,http://numismatics.org/collection/0000.999.4013,thurium_copia,11.29,
ANS,0000.999.4014,http://numismatics.org/collection/0000.999.4014,thurium_copia,5.1,
ANS,0000.999.4018,http://numismatics.org/collection/0000.999.4018,velia,7.98,
ANS,0000.999.4020,http://numismatics.org/collection/0000.999.4020,velia,7.41,
ANS,0000.999.4022,http://numismatics.org/collection/0000.999.4022,velia,1.96,
ANS,0000.999.4023,http://numismatics.org/collection/0000.999.4023,velia,4.23,
ANS,0000.999.4024,http://numismatics.org/collection/0000.999.4024,velia,2.84,
ANS,0000.999.4025,http://numismatics.org/collection/0000.999.4025,velia,1.97,
ANS,0000.999.4026,http://numismatics.org/collection/0000.999.4026,velia,3.64,
ANS,0000.999.4027,http://numismatics.org/collection/0000.999.4027,velia,2.42,
ANS,0000.999.4028,http://numismatics.org/collection/0000.999.4028,velia,2.74,
ANS,0000.999.4029,http://numismatics.org/collection/0000.999.4029,velia,1.83,
ANS,0000.999.4030,http://numismatics.org/collection/0000.999.4030,velia,0.89,
ANS,0000.999.4031,http://numismatics.org/collection/0000.999.4031,velia,1.49,
ANS,0000.999.4032,http://numismatics.org/collection/0000.999.4032,velia,1.38,
ANS,0000.999.4033,http://numismatics.org/collection/0000.999.4033,velia,1.95,
ANS,0000.999.4034,http://numismatics.org/collection/0000.999.4034,velia,1.49,
ANS,0000.999.4199,http://numismatics.org/collection/0000.999.4199,croton,5.92,
ANS,0000.999.4200,http://numismatics.org/collection/0000.999.4200,vibo_hipponium,1.93,
ANS,0000.999.53600,http://numismatics.org/collection/0000.999.53600,cales,6.92,
ANS,0000.999.53603,http://numismatics.org/collection/0000.999.53603,neapolis,7.03,
ANS,0000.999.53604,http://numismatics.org/collection/0000.999.53604,neapolis,6.26,
ANS,0000.999.53605,http://numismatics.org/collection/0000.999.53605,neapolis,6.23,
ANS,0000.999.53608,http://numismatics.org/collection/0000.999.53608,neapolis,6.09,
ANS,0000.999.53609,http://numismatics.org/collection/0000.999.53609,tarentum,5.97,22.0
ANS,0000.999.53610,http://numismatics.org/collection/0000.999.53610,tarentum,7.07,20.0
ANS,0000.999.53611,http://numismatics.org/collection/0000.999.53611,tarentum,5.61,
ANS,0000.999.53612,http://numismatics.org/collection/0000.999.53612,tarentum,7.27,
ANS,0000.999.53613,http://numismatics.org/collection/0000.999.53613,tarentum,5.88,
ANS,0000.999.53614,http://numismatics.org/collection/0000.999.53614,heraclea,6.0,
ANS,0000.999.53615,http://numismatics.org/collection/0000.999.53615,heraclea,6.19,
ANS,0000.999.53617,http://numismatics.org/collection/0000.999.53617,metapontum,5.96,
ANS,0000.999.53618,http://numismatics.org/collection/0000.999.53618,metapontum,7.23,
ANS,0000.999.53620,http://numismatics.org/collection/0000.999.53620,metapontum,5.88,21.0
ANS,0000.999.53621,http://numismatics.org/collection/0000.999.53621,metapontum,6.08,22.0
ANS,0000.999.53622,http://numismatics.org/collection/0000.999.53622,metapontum,5.39,21.0
ANS,0000.999.53625,http://numismatics.org/collection/0000.999.53625,velia,6.21,
ANS,0000.999.53626,http://numismatics.org/collection/0000.999.53626,velia,6.6,
ANS,0000.999.53627,http://numismatics.org/collection/0000.999.53627,velia,6.09,
ANS,0000.999.53628,http://numismatics.org/collection/0000.999.53628,velia,,
ANS,0000.999.53629,http://numismatics.org/collection/0000.999.53629,velia,5.89,
ANS,0000.999.53633,http://numismatics.org/collection/0000.999.53633,velia,4.72,
ANS,0000.999.53641,http://numismatics.org/collection/0000.999.53641,neapolis,6.84,
ANS,0000.999.5793,http://numismatics.org/collection/0000.999.5793,rhegium,,
ANS,0000.999.6898,http://numismatics.org/collection/0000.999.6898,neapolis,,
ANS,0000.999.6899,http://numismatics.org/collection/0000.999.6899,neapolis,1.65,
ANS,0000.999.6900,http://numismatics.org/collection/0000.999.6900,neapolis,1.66,
ANS,0000.999.6901,http://numismatics.org/collection/0000.999.6901,neapolis,1.935,
ANS,0000.999.91,http://numismatics.org/collection/0000.999.91,luceria,5.39,20.0
ANS,1895.27.1,http://numismatics.org/collection/1895.27.1,tarentum,1.03,
ANS,1895.47.1,http://numismatics.org/collection/1895.47.1,metapontum,7.76,
ANS,1895.47.2,http://numismatics.org/collection/1895.47.2,thurium_copia,7.82,
ANS,1895.47.3,http://numismatics.org/collection/1895.47.3,rhegium,4.03,
ANS,1899.47.5,http://numismatics.org/collection/1899.47.5,neapolis,1.898,
ANS,1904.30.3,http://numismatics.org/collection/1904.30.3,rhegium,17.19,
ANS,1905.57.39,http://numismatics.org/collection/1905.57.39,thurium_copia,14.69,
ANS,1905.57.40,http://numismatics.org/collection/1905.57.40,rhegium,17.18,
ANS,1906.236.119,http://numismatics.org/collection/1906.236.119,neapolis,,
ANS,1906.236.690,http://numismatics.org/collection/1906.236.690,luceria,35.41,33.0
ANS,1906.236.691,http://numismatics.org/collection/1906.236.691,luceria,14.89,25.5
ANS,1908.89.26,http://numismatics.org/collection/1908.89.26,luceria,35.24,28.5
ANS,1909.254.1,http://numismatics.org/collection/1909.254.1,metapontum,7.92,
ANS,1909.277.1,http://numismatics.org/collection/1909.277.1,tarentum,6.33,
ANS,1909.277.2,http://numismatics.org/collection/1909.277.2,tarentum,0.51,
