museum,accession,record_url,verified_type,round,date,contributor,method
ANS,1944.100.2441,http://numismatics.org/collection/1944.100.2441,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb41860103j,https://gallica.bnf.fr/ark:/12148/cb41860103j,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb417448224,https://gallica.bnf.fr/ark:/12148/cb417448224,HN Italy 639,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb41832348x,https://gallica.bnf.fr/ark:/12148/cb41832348x,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb418323405,https://gallica.bnf.fr/ark:/12148/cb418323405,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb41832341h,https://gallica.bnf.fr/ark:/12148/cb41832341h,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
ANS,1974.26.40,http://numismatics.org/collection/1974.26.40,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
ANS,1944.100.2443,http://numismatics.org/collection/1944.100.2443,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
ANS,1944.100.2442,http://numismatics.org/collection/1944.100.2442,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb41857322v,https://gallica.bnf.fr/ark:/12148/cb41857322v,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
ANS,1944.100.2444,http://numismatics.org/collection/1944.100.2444,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
ANS,1943.102.13,http://numismatics.org/collection/1943.102.13,HN Italy 645,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb418437683,https://gallica.bnf.fr/ark:/12148/cb418437683,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb41744821s,https://gallica.bnf.fr/ark:/12148/cb41744821s,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb417448255,https://gallica.bnf.fr/ark:/12148/cb417448255,HN Italy 645,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb41832338m,https://gallica.bnf.fr/ark:/12148/cb41832338m,HN Italy 647,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb41843767r,https://gallica.bnf.fr/ark:/12148/cb41843767r,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb41744823g,https://gallica.bnf.fr/ark:/12148/cb41744823g,HN Italy 647,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
BnF,cb418323467,https://gallica.bnf.fr/ark:/12148/cb418323467,HN Italy 642,r1,2026-07-03,Metamorphoses Collection (CJ),v8c retrieval proposal + human verification
